Pokemon,No.,Caught?,Ruby,Sapphire,Emerald,FireRed,LeafGreen,Colosseum,XD
Koffing,#0109,False,Fiery Path,Fiery Path,Fiery Path,Pokémon Mansion Celadon City (surfing),Pokémon Mansion Celadon City (surfing),Trade,Trade
Weezing,#0110,False,Evolve Koffing,Evolve Koffing,Evolve Koffing,Pokémon Mansion,Evolve Koffing,Trade,Trade
Rhyhorn,#0111,False,Safari Zone,Safari Zone,Safari Zone,Safari Zone,Safari Zone,Trade,Trade
Rhydon,#0112,False,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Evolve Rhyhorn,Trade,Citadark Isle (Shadow)
Chansey,#0113,False,Trade,Trade,Trade,Safari Zone,Safari Zone,Trade,Citadark Isle (Shadow)
Tangela,#0114,False,Trade,Trade,Trade,"Route 21, Treasure Beach Trade Venonat at the Pokémon Lab on Cinnabar Island","Route 21, Treasure Beach Trade Venonat at the Pokémon Lab on Cinnabar Island",Trade,Cipher Key Lair (Shadow)
Kangaskhan,#0115,False,"Trade, Event","Trade, Event","Trade, Event",Safari Zone,Safari Zone,Trade,Citadark Isle (Shadow)
Horsea,#0116,False,"Routes 132, 133, and 134 (Super Rod)","Routes 132, 133, and 134 (Super Rod)","Routes 132, 133, and 134 (Super Rod) Trade Bagon in Pacifidlog Town","Vermilion City, Treasure Beach, Kindle Road, Bond Bridge, Resort Gorgeous, Water Labyrinth, Water Path, Green Path, Outcast Island, Tanoby Ruins, Five Isle Meadow, Memorial Pillar, One Island, Five Island, Icefall Cave, Trainer Tower, Pallet Town, Cinnabar Island (Good Rod or Super Rod) Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Cerulean City, Seafoam Islands (Super Rod)","Routes 4, 10, 11, 12, 13, 19, 20, 21, and 24, Cerulean City, Seafoam Islands, Pallet Town, Cinnabar Island (Good Rod) Vermilion City (Good Rod or Super Rod)",Trade,Trade
Seadra,#0117,False,Evolve Horsea,Evolve Horsea,Evolve Horsea,"Routes 19, 20, and 21, Kindle Road, Treasure Beach, Bond Bridge, Resort Gorgeous, Water Labyrinth, Five Isle Meadow, Memorial Pillar, Green Path, Water Path, Outcast Island, Trainer Tower, Tanoby Ruins, Cinnabar Island, One Island, Five Island, Icefall Cave, Pallet Town (Super Rod)",Evolve Horsea,Trade,Trade
Goldeen,#0118,False,"Routes 102, 111, 114, 117, and 120, Petalburg City, Meteor Falls, Victory Road (Old Rod and Good Rod) Safari Zone (fishing)","Routes 102, 111, 114, 117, and 120, Petalburg City, Meteor Falls, Victory Road (Old Rod and Good Rod) Safari Zone (fishing)","Routes 102, 111, 114, 117, and 120 (Surfing, Old Rod and Good Rod) Petalburg City, Meteor Falls, Victory Road (Old Rod and Good Rod) Safari Zone (fishing)","Routes 6, 22, 23, 25, Ruin Valley, Cape Brink, Viridian City, Four Island, Cerulean Cave, Icefall Cave (Good Rod) Fuchsia City, Berry Forest, Safari Zone (Good Rod and Super Rod)","Routes 6, 22, 23, 25, Ruin Valley, Cape Brink, Viridian City, Four Island, Cerulean Cave, Icefall Cave (Good Rod) Fuchsia City, Berry Forest, Safari Zone (Good Rod and Super Rod)",Trade,Trade
Seaking,#0119,False,Safari Zone (Super Rod),Safari Zone (Super Rod),Safari Zone (Super Rod),"Berry Forest, Safari Zone, Fuchsia City (Super Rod)","Berry Forest, Safari Zone, Fuchsia City (Super Rod)",Trade,Trade
Staryu,#0120,False,Lilycove City (Super Rod),Lilycove City (Super Rod),Lilycove City (Super Rod),"Trade, Event","Pallet Town, Vermilion City, Cinnabar Island, One Island, Five Island, Icefall Cave (Super Rod)",Trade,Trade
Starmie,#0121,False,Evolve Staryu,Evolve Staryu,Evolve Staryu,Trade,Evolve Staryu,Trade,Citadark Isle (Shadow)
Mr. Mime,#0122,False,Trade,Trade,Trade,Trade Abra on Route 2,Trade Abra on Route 2,Trade,Citadark Isle (Shadow)
Scyther,#0123,False,"Trade, Event","Trade, Event","Trade, Event",Safari Zone Celadon City (Rocket Game Corner),"Trade, Event",Trade,Citadark Isle (Shadow)
Jynx,#0124,False,Trade,Trade,Trade,Trade Poliwhirl in Cerulean City,Trade Poliwhirl in Cerulean City,Trade,Trade
Electabuzz,#0125,False,"Trade, Event","Trade, Event","Trade, Event",Power Plant,"Trade, Event",Trade,"Citadark Isle (Shadow), Evolve Elekid"
Magmar,#0126,False,"Trade, Event","Trade, Event","Trade, Event","Trade, Event",Mt. Ember,Trade,Citadark Isle (Shadow)
Pinsir,#0127,False,Safari Zone,Safari Zone,Safari Zone,Trade,"Safari Zone, Celadon City (Rocket Game Corner)",Trade,Citadark Isle (Shadow)
Tauros,#0128,False,"Trade, Event","Trade, Event","Trade, Event",Safari Zone,Safari Zone,Trade,Citadark Isle (Shadow)
Magikarp,#0129,False,"Routes 102, 103, 105, 106, 107, 108, 109, 110, 111, 114, 115, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Petalburg City, Dewford Town, Slateport City, Lilycove City, Pacifidlog Town, Ever Grande City, Abandoned Ship, Safari Zone, Shoal Cave, Meteor Falls, Seafloor Cavern, Victory Road, Mossdeep City (Old Rod or Good Rod) Route 104 (fishing) Sootopolis City (Surfing and fishing)","Routes 102, 103, 105, 106, 107, 108, 109, 110, 111, 114, 115, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Petalburg City, Dewford Town, Slateport City, Lilycove City, Pacifidlog Town, Ever Grande City, Abandoned Ship, Safari Zone, Shoal Cave, Meteor Falls, Seafloor Cavern, Victory Road, Mossdeep City (Old Rod or Good Rod) Route 104 (fishing) Sootopolis City (Surfing and fishing)","Routes 102, 103, 105, 106, 107, 108, 109, 110, 111, 114, 115, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, and 134, Petalburg City, Dewford Town, Slateport City, Lilycove City, Pacifidlog Town, Ever Grande City, Abandoned Ship, Safari Zone, Shoal Cave, Meteor Falls, Seafloor Cavern, Victory Road, Mossdeep City (Old Rod or Good Rod) Route 104 (fishing) Sootopolis City (Surfing and fishing)","Routes 4, 6, 10, 11, 12, 13, 19, 20, 21, 22, 23, 24, and 25, Treasure Beach, Kindle Road, Cape Brink, Bond Bridge, Five Isle Meadow, Ruin Valley, Water Path, Water Labyrinth, Resort Gorgeous, Memorial Pillar, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Viridian City, Fuchsia City, Vermilion City, Celadon City, Cinnabar Island, One Island, Four Island, Five Island, Trainer Tower, Cerulean Cave, Safari Zone, Berry Forest, Icefall Cave, Seafoam Islands (Old Rod or Good Rod) Buy from Magikarp salesman for $500 on Route 4","Routes 4, 6, 10, 11, 12, 13, 19, 20, 21, 22, 23, 24, and 25, Treasure Beach, Kindle Road, Cape Brink, Bond Bridge, Five Isle Meadow, Ruin Valley, Water Path, Water Labyrinth, Resort Gorgeous, Memorial Pillar, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Viridian City, Fuchsia City, Vermilion City, Celadon City, Cinnabar Island, One Island, Four Island, Five Island, Trainer Tower, Cerulean Cave, Safari Zone, Berry Forest, Icefall Cave, Seafoam Islands (Old Rod or Good Rod) Buy from Magikarp salesman for $500 on Route 4",Trade,Trade
Gyarados,#0130,False,Sootopolis City (Super Rod),Sootopolis City (Super Rod),Sootopolis City (Super Rod),"Routes 4, 6, 10, 11, 12, 13, 19, 20, 21, 22, 23, 24, and 25, Treasure Beach, Kindle Road, Cape Brink, Bond Bridge, Five Isle Meadow, Ruin Valley, Water Path, Water Labyrinth, Resort Gorgeous, Memorial Pillar, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Viridian City, Fuchsia City, Vermilion City, Cinnabar Island, One Island, Four Island, Five Island, Seafoam Islands, Trainer Tower, Cerulean Cave, Berry Forest, Icefall Cave (Super Rod)","Routes 4, 6, 10, 11, 12, 13, 19, 20, 21, 22, 23, 24, and 25, Treasure Beach, Kindle Road, Cape Brink, Bond Bridge, Five Isle Meadow, Ruin Valley, Water Path, Water Labyrinth, Resort Gorgeous, Memorial Pillar, Green Path, Outcast Island, Tanoby Ruins, Pallet Town, Cerulean City, Viridian City, Fuchsia City, Vermilion City, Cinnabar Island, One Island, Four Island, Five Island, Seafoam Islands, Trainer Tower, Cerulean Cave, Berry Forest, Icefall Cave (Super Rod)",Trade,Trade
Lapras,#0131,False,Trade,Trade,Trade,Received from a person in Silph Co. (Saffron City) Icefall Cave (Surfing),Received from a person in Silph Co. (Saffron City) Icefall Cave (Surfing),Trade,Citadark Isle (Shadow)
Ditto,#0132,False,Trade,Trade,Desert Underpass,"Routes 13, 14, and 15, Pokémon Mansion, Cerulean Cave","Routes 13, 14, and 15, Pokémon Mansion, Cerulean Cave",Trade,Trade
Eevee,#0133,False,Trade,Trade,Trade,Received from a person in Celadon Mansion,Received from a person in Celadon Mansion,Trade,First Pokémon
Vaporeon,#0134,False,Trade,Trade,Trade,Evolve Eevee,Evolve Eevee,Trade,Evolve Eevee
Jolteon,#0135,False,Trade,Trade,Trade,Evolve Eevee,Evolve Eevee,Trade,Evolve Eevee
Flareon,#0136,False,Trade,Trade,Trade,Evolve Eevee,Evolve Eevee,Trade,Evolve Eevee
Porygon,#0137,False,Trade,Trade,Trade,Rocket Game Corner,Rocket Game Corner,Trade,Trade
Omanyte,#0138,False,Trade,Trade,Trade,Revive from Helix Fossil at the Pokémon Lab on Cinnabar Island,Revive from Helix Fossil at the Pokémon Lab on Cinnabar Island,Trade,Trade
Omastar,#0139,False,Trade,Trade,Trade,Evolve Omanyte,Evolve Omanyte,Trade,Trade
Kabuto,#0140,False,Trade,Trade,Trade,Revive from Dome Fossil at the Pokémon Lab on Cinnabar Island,Revive from Dome Fossil at the Pokémon Lab on Cinnabar Island,Trade,Trade
Kabutops,#0141,False,Trade,Trade,Trade,Evolve Kabuto,Evolve Kabuto,Trade,Trade
Aerodactyl,#0142,False,Trade,Trade,Trade,Revive from Old Amber at the Pokémon Lab on Cinnabar Island,Revive from Old Amber at the Pokémon Lab on Cinnabar Island,Trade,Trade
Snorlax,#0143,False,Trade,Trade,Trade,Routes 12 and 16 (Only two),Routes 12 and 16 (Only two),Trade,Citadark Isle (Shadow)
Articuno,#0144,False,Trade,Trade,Trade,Seafoam Islands (Only one),Seafoam Islands (Only one),Trade,Citadark Isle (Shadow)
Zapdos,#0145,False,Trade,Trade,Trade,Power Plant (Only one),Power Plant (Only one),Trade,Citadark Isle (Shadow)
Moltres,#0146,False,Trade,Trade,Trade,Mt. Ember (Only one),Mt. Ember (Only one),Trade,Citadark Isle (Shadow)
Dratini,#0147,False,Trade,Trade,Trade,Safari Zone (Super Rod) Buy for 2800C in the Rocket Game Corner in Celadon City,Safari Zone (Super Rod) Buy for 4600C in the Rocket Game Corner in Celadon City,Trade,Trade
Dragonair,#0148,False,Trade,Trade,Trade,Safari Zone (Super Rod),Safari Zone (Super Rod),Trade,Trade
Dragonite,#0149,False,Trade,Trade,Trade,Evolve Dragonair,Evolve Dragonair,Trade,Gateon Port (Shadow)
Mewtwo,#0150,False,Trade,Trade,Trade,Cerulean Cave (Only one),Cerulean Cave (Only one),Trade,Trade
Mew,#0151,False,Event,Event,Faraway Island (requires Old Sea Map)* (Only one) Event,Event,Event,Trade,Trade
Chikorita,#0152,False,"Trade, Event","Trade, Event",Received from Professor Birch at Littleroot Town after completing the Hoenn Pokédex,"Trade, Event","Trade, Event",Trade,Reward for defeating 100 Trainers in Mt. Battle
Bayleef,#0153,False,Trade,Trade,Evolve Chikorita,Trade,Trade,Phenac City (Shadow) Realgam Tower (if not snagged in Phenac City) Snagem Hideout (if Bluno was battled in Phenac City) Shadow P K M N Lab (if Rosso was battled in Phenac City),Evolve Chikorita
Meganium,#0154,False,Trade,Trade,Evolve Bayleef,Trade,Trade,Evolve Bayleef,Evolve Bayleef
Cyndaquil,#0155,False,"Trade, Event","Trade, Event",Received from Professor Birch at Littleroot Town after completing the Hoenn Pokédex,"Trade, Event","Trade, Event",Trade,Reward for defeating 100 Trainers in Mt. Battle
Quilava,#0156,False,Trade,Trade,Evolve Cyndaquil,Trade,Trade,Phenac City (Shadow) Realgam Tower (if not snagged in Phenac City) Snagem Hideout (if Verde was battled in Phenac City) Shadow P K M N Lab (if Bluno was battled in Phenac City),Evolve Cyndaquil
Typhlosion,#0157,False,"Trade, Event","Trade, Event",Evolve Quilava,"Trade, Event","Trade, Event",Evolve Quilava,Evolve Quilava
Totodile,#0158,False,"Trade, Event","Trade, Event",Received from Professor Birch at Littleroot Town after completing the Hoenn Pokédex,"Trade, Event","Trade, Event",Trade,Reward for defeating 100 Trainers in Mt. Battle
Croconaw,#0159,False,Trade,Trade,Evolve Totodile,Trade,Trade,Phenac City (Shadow) Realgam Tower (if not snagged in Phenac City) Snagem Hideout (if Rosso was battled in Phenac City) Shadow P K M N Lab (if Verde was battled in Phenac City),Evolve Totodile
Feraligatr,#0160,False,Trade,Trade,Evolve Croconaw,Trade,Trade,Evolve Croconaw,Evolve Croconaw
Sentret,#0161,False,Trade,Trade,Trade,"Canyon Entrance, Five Isle Meadow, Water Path","Canyon Entrance, Five Isle Meadow, Water Path",Trade,Trade
Furret,#0162,False,Trade,Trade,Trade,Evolve Sentret,Evolve Sentret,Pyrite Town (Shadow),Trade
Hoothoot,#0163,False,Trade,Trade,Safari Zone extension,Trade,Trade,Trade,Trade
Noctowl,#0164,False,Trade,Trade,Evolve Hoothoot,Trade,Trade,Pyrite Town (Shadow),Trade
Ledyba,#0165,False,Trade,Trade,Safari Zone extension,Pattern Bush,Pattern Bush,Trade,Gateon Port (Shadow)
Ledian,#0166,False,Trade,Trade,Evolve Ledyba,Evolve Ledyba,Evolve Ledyba,The Under (Shadow),Evolve Ledyba
Spinarak,#0167,False,Trade,Trade,Safari Zone extension,Pattern Bush,Pattern Bush,Trade,Cipher Lab (Shadow)
Ariados,#0168,False,Trade,Trade,Evolve Spinarak,Evolve Spinarak,Evolve Spinarak,Shadow P K M N Lab (Shadow),Evolve Spinarak
Crobat,#0169,False,Evolve Golbat,Evolve Golbat,Evolve Golbat,Evolve Golbat after acquiring the National Pokédex,Evolve Golbat after acquiring the National Pokédex,Trade,Evolve Golbat
Chinchou,#0170,False,Underwater (Routes 124 and 126),Underwater (Routes 124 and 126),Underwater (Routes 124 and 126),Trade,Trade,Trade,Trade
Lanturn,#0171,False,Evolve Chinchou,Evolve Chinchou,Evolve Chinchou,Trade,Trade,Trade,Trade
Pichu,#0172,False,Breed Pikachu or Raichu,Breed Pikachu or Raichu,Breed Pikachu or Raichu,Breed Pikachu or Raichu,Breed Pikachu or Raichu,Trade,Trade
Cleffa,#0173,False,Trade,Trade,Trade,Breed Clefairy or Clefable,Breed Clefairy or Clefable,Trade,Trade
Igglybuff,#0174,False,Breed Jigglypuff or Wigglytuff,Breed Jigglypuff or Wigglytuff,Breed Jigglypuff or Wigglytuff,Breed Jigglypuff or Wigglytuff,Breed Jigglypuff or Wigglytuff,Trade,Trade
Togepi,#0175,False,Trade,Trade,Trade,Hatch Egg received from a Gentleman in the Water Labyrinth,Hatch Egg received from a Gentleman in the Water Labyrinth,"Card e Room (Shadow)*, Trade",Received from Hordel (Shadow)
Togetic,#0176,False,Trade,Trade,Trade,Evolve Togepi,Evolve Togepi,Outskirt Stand (Shadow),Evolve Togepi
Natu,#0177,False,Safari Zone,Safari Zone,Safari Zone,Ruin Valley,Ruin Valley,Trade,Prestige Precept Center (Shadow)
Xatu,#0178,False,Safari Zone,Safari Zone,Safari Zone,Evolve Natu,Evolve Natu,Trade,Evolve Natu
Mareep,#0179,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event","Card e Room (Shadow)*, Trade",Cipher Lab (Shadow)
Flaaffy,#0180,False,Trade,Trade,Evolve Mareep,Trade,Trade,Pyrite Town (Shadow),Evolve Mareep
Ampharos,#0181,False,Trade,Trade,Evolve Flaaffy,Trade,Trade,Evolve Flaaffy,Evolve Flaaffy
Bellossom,#0182,False,Evolve Gloom,Evolve Gloom,Evolve Gloom,Evolve Gloom,Trade,Trade,Trade
Marill,#0183,False,"Routes 102, 111, 114, and 117, Petalburg City (Surfing) Routes 117 and 120 (tall grass)","Routes 102, 111, 114, and 117, Petalburg City (Surfing) Routes 117 and 120 (tall grass)","Routes 102, 111, 114, 117, and 120, Petalburg City, Safari Zone (Surfing) Routes 104, 112, 117, and 120 (tall grass)",Trade,"Four Island, Icefall Cave, Ruin Valley",Trade,Trade
Azumarill,#0184,False,Evolve Marill,Evolve Marill,Evolve Marill,Trade,Evolve Marill,Trade,Trade
Sudowoodo,#0185,False,Trade,Trade,Battle Frontier (Only one),Trade,Trade,Miror's Hideout (Shadow),Trade
Politoed,#0186,False,Trade,Trade,Trade,Evolve Poliwhirl,Evolve Poliwhirl,Trade,Trade
Hoppip,#0187,False,Trade,Trade,Trade,"Five Island, Resort Gorgeous, Water Labyrinth (Surfing) Five Isle Meadow, Memorial Pillar (Tall grass and surfing)","Five Island, Resort Gorgeous, Water Labyrinth (Surfing) Five Isle Meadow, Memorial Pillar (Tall grass and surfing)",Trade,Oasis Poké Spot
Skiploom,#0188,False,Trade,Trade,Trade,Evolve Hoppip,Evolve Hoppip,Pyrite Town (Shadow),Evolve Hoppip
Jumpluff,#0189,False,Trade,Trade,Trade,Evolve Skiploom,Evolve Skiploom,Evolve Skiploom,Evolve Skiploom
Aipom,#0190,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event",Shadow P K M N Lab (Shadow),Trade
Sunkern,#0191,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event",Trade,Trade
Sunflora,#0192,False,Trade,Trade,Evolve Sunkern,Trade,Trade,Realgamtwr Dome (Shadow),Trade
Yanma,#0193,False,Trade,Trade,Trade,Ruin Valley,Ruin Valley,Pyrite Bldg (Shadow),Trade
Wooper,#0194,False,Trade,Trade,Safari Zone extension,"Four Island, Icefall Cave, Ruin Valley",Trade,Trade,Cave Poké Spot
Quagsire,#0195,False,Trade,Trade,Safari Zone extension (Surfing),Evolve Wooper,Trade,Pyrite Town (Shadow),Evolve Wooper
Espeon,#0196,False,"Evolve an Eevee traded from F R L G or X D, Event","Evolve an Eevee traded from F R L G or X D, Event","Evolve an Eevee traded from F R L G or X D, Event","Trade, Event","Trade, Event",First Pokémon,Evolve Eevee
Umbreon,#0197,False,"Evolve an Eevee traded from F R L G or X D, Event","Evolve an Eevee traded from F R L G or X D, Event","Evolve an Eevee traded from F R L G or X D, Event","Trade, Event","Trade, Event",First Pokémon,Evolve Eevee
Murkrow,#0198,False,"Trade, Event","Trade, Event","Trade, Event",Lost Cave,"Trade, Event",Shadow P K M N Lab (Shadow),Trade
Slowking,#0199,False,Trade,Trade,Trade,Trade,Evolve Slowpoke,Trade,Trade
Misdreavus,#0200,False,"Trade, Event","Trade, Event","Trade, Event","Trade, Event",Lost Cave,Pyrite Town (Shadow),Trade
Unown,#0201,False,Trade,Trade,Trade,Inside Tanoby Chambers (different forms appear in different chambers),Inside Tanoby Chambers (different forms appear in different chambers),Trade,Trade
Wobbuffet,#0202,False,Safari Zone,Safari Zone,Safari Zone,"Cerulean Cave, Ruin Valley","Cerulean Cave, Ruin Valley",Trade,Trade
Girafarig,#0203,False,Safari Zone,Safari Zone,Safari Zone,Trade,Trade,Trade,Trade
Pineco,#0204,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event",Trade,Phenac City (Shadow)
Forretress,#0205,False,Trade,Trade,Evolve Pineco,Trade,Trade,Shadow P K M N Lab (Shadow),Evolve Pineco
Dunsparce,#0206,False,Trade,Trade,Trade,Three Isle Port,Three Isle Port,Pyrite Cave (Shadow),Trade
Gligar,#0207,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event",The Under Subway (Shadow),Rock Poké Spot
Steelix,#0208,False,Trade,Trade,Trade,Evolve Onix,Evolve Onix,Trade,Trade
Snubbull,#0209,False,Trade,Trade,Safari Zone extension,Trade,Trade,Trade,Trade
Granbull,#0210,False,Trade,Trade,Evolve Snubbull,Trade,Trade,Shadow P K M N Lab (Shadow),Trade
Qwilfish,#0211,False,"Trade, Event","Trade, Event","Trade, Event","Five Isle Meadow, Green Path, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Water Labyrinth, Water Path (Super Rod)","Trade, Event",Pyrite Bldg (Shadow),Trade
Scizor,#0212,False,Trade,Trade,Trade,Evolve Scyther,Trade,"Card e Room (Shadow)*, Trade",Evolve Scyther
Shuckle,#0213,False,"Trade, Event","Trade, Event",Safari Zone extension (Rock Smash),"Trade, Event","Trade, Event",Deep Colosseum (Shadow),Trade Surskit to Duking in Pyrite Town
Heracross,#0214,False,Safari Zone,Safari Zone,Safari Zone,Pattern Bush,Pattern Bush,Realgamtwr Dome (Shadow),Trade
Sneasel,#0215,False,"Trade, Event","Trade, Event","Trade, Event","Trade, Event",Icefall Cave,The Under Subway (Shadow),Trade
Teddiursa,#0216,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event",Trade,Pokémon H Q Lab (Shadow)
Ursaring,#0217,False,Trade,Trade,Evolve Teddiursa,Trade,Trade,Snagem Hideout (Shadow),Evolve Teddiursa
Slugma,#0218,False,Fiery Path,Fiery Path,"Route 113, Fiery Path",Mt. Ember,Mt. Ember,Pyrite Town (Shadow),Trade
Magcargo,#0219,False,Evolve Slugma,Evolve Slugma,Evolve Slugma,Mt. Ember,Mt. Ember,Evolve Slugma,Citadark Isle (Shadow)
Swinub,#0220,False,Trade,Trade,Trade,Icefall Cave,Icefall Cave,Trade,Phenac City (Shadow)
Piloswine,#0221,False,Trade,Trade,Trade,Evolve Swinub,Evolve Swinub,The Under Subway (Shadow),Evolve Swinub
Corsola,#0222,False,"Route 128, Ever Grande City (Super Rod) Trade Bellossom in Pacifidlog Town","Route 128, Ever Grande City (Super Rod) Trade Bellossom in Pacifidlog Town","Route 128, Ever Grande City (Super Rod)","Trade, Event","Trade, Event",Trade,Trade
Remoraid,#0223,False,Trade,Trade,Safari Zone extension (Good Rod or Super Rod),Trade,"Five Isle Meadow, Green Path, Memorial Pillar, Outcast Island, Resort Gorgeous, Tanoby Ruins, Trainer Tower, Water Labyrinth, Water Path (Super Rod)",Pyrite Bldg (Shadow) Pyrite Cave (if not snagged in Pyrite Bldg),Trade
Octillery,#0224,False,Trade,Trade,Safari Zone extension (Super Rod),Trade,Evolve Remoraid,Evolve Remoraid,Trade
Delibird,#0225,False,"Trade, Event","Trade, Event","Trade, Event",Icefall Cave,"Trade, Event",Realgamtwr Dome (Shadow),Trade
Mantine,#0226,False,"Trade, Event","Trade, Event","Trade, Event","Trade, Event","Tanoby Ruins, Trainer Tower",Pyrite Bldg (Shadow) Pyrite Cave (if not snagged in Pyrite Bldg),Trade
Skarmory,#0227,False,Route 113,Route 113,Route 113,Sevault Canyon,Trade,Realgam Tower (Shadow),Trade
Houndour,#0228,False,"Trade, Event","Trade, Event",Safari Zone extension,"Trade, Event","Trade, Event",Trade,Cipher Lab (Shadow)
Houndoom,#0229,False,Trade,Trade,Evolve Houndour,Trade,Trade,Tower Colosseum (Shadow),Evolve Houndour
Kingdra,#0230,False,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Evolve Seadra,Trade,Trade
Phanpy,#0231,False,Safari Zone,Safari Zone,Safari Zone,"Sevault Canyon, Canyon Entrance","Sevault Canyon, Canyon Entrance",Trade,Oasis Poké Spot
Donphan,#0232,False,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Evolve Phanpy,Trade,Evolve Phanpy
Porygon2,#0233,False,Trade,Trade,Trade,Evolve Porygon,Evolve Porygon,Trade,Trade
Stantler,#0234,False,Trade,Trade,Safari Zone extension,Trade,Trade,The Under Subway (Shadow),Trade
